English,Baklese
I am changing,Chumechange outfit kasi si watashi
What?,Anek?
I won’t keep it from you any longer,Wit ko na ihahide and seek sayo
I’m falling for…,Nabebetan ko na si…
Jigs,Jigs
Jigs?!,Jigs?!
Yes!,True.
Would you believe me if I told you I was cursed?,Magegets mo ba kung i-say ko na nakyember akez?
For real?,Sureness?
Bring it on!,O nommu pa!
Good you’re home,Ayanchi nakajuwela ka na
"I’ll borrow your tricycle, okay?","Pa-endeavor ng traykabels mo, keri?"
Where are you going? I’ll take you,Saanchi ka gogora? Bringalerch na kita
No,Wit
I don’t want you mixed up in this,Wit ko bet na pa-involve ka pa ditey
Stop it. ,Shadap
We’re friends!,Amiga kaya tayey
Nothing’s gonna change that!,Waley ang makakatransfigure niyanchi
"Okay, fine! ","Okay, fine!"
My God…,OM.
I almost couldn’t tell you’re drunk,Bangergz ka aney?
I lied to you,Naglie akey sayochi
About what?,Anek ang topic?
I’m not a virgin anymore,Witit na akey virgin mary
I know that,Knowschina ko na yanchi
With gays,Sa beki
It’s not true I don’t do it with them,Wit true na wit ako nakikipag-jugs sa kanila
Why didn’t you tell me?,Bakit wit mo kinuda yan sa akin?
I know you,Assessed kita teh
You’d think it low of me,Ma-chicheapan ka kay watashi
Then I find out…,Then na-discover kez
You’re also hiding something from me,May shinoshogo ka rin sa akinchi
What are you talking about?,Anek ang kinukuda mez?
How long have you been in love with me?,More when mo pa akez betchikola?
Why did you keep it from me?,More bakit mo shinogo kay watashi?
Did you think I’d be grossed out?,Feeling mo ma-chicheapan akey?
That I’d laugh at you?,Na ma-kokyowa akey?
Avoid you?,Ha-hide akez from you?
If I was okay with it with others…,Kung keri ko nga sa ibang beks…
Come here,Kamown
"Wait, wait wait",Wait wait wait
"Go, go, go",Keri gora gora gora
Shit! ,Shutang!
Are you done?,The end na?
Can’t do it,Wit ko keri
You might go next,Ikawchi na ang next in line
What do you mean?,Anek ang meaning nitey?
"I mean, die","More, tegi!"
Who’ll die?,Sinek ang matetegi!
You ,Ikawchi
…if ever,If ever…
You’re the killer?,Ikawchi ang killeraka?
No!,Wit!
"Janet Jokla, Tonya, and even MangBerting…","Si Janet Jokla, si Tonya, more like Mang Berting pa…"
You had sex with them?,Di-nu mo silachi?
Yes,Check!
Before they were killed,More bago sila tinegi
"Sorry, bro. That was close.","Sorry teh, almost na yoonchi."
"Welcome to the club, Ed!","Joingaler sa clubibams, Ed!"
Doesn’t that thing run out of power?,Wit ba yan nalolotlot ng bateryey?
Where’s your faggot?,Saanchi yong beki mes?
You mean Georgia? ,Si Geogiabels?
He suddenly took off.,Umexit ang drama ng hitad
You must have warned him,In-FYI mo siguro anek?
"I made a deal with you, remember? ","Na-talkshow na natinchi itey, diveign?"
I’ll go along with you if you leave Georgia alone,Joingaler akez sa trippany nyes kung wit nyo ikekyeme si Georgia
But why do this? Why do you hate gays so much?,Pero bakitchi? Bakitchi kayey imbey sa mga veklerin?
Don’t you?,Wit ka ba imbey?
Sometimes. When Georgia is hard headed.,Sometimes. Pag kalurks si Georgia.
Gays are insidious. They…,Ganyanchi ang strategy ng mga beki sa world. In small steps…
"…to protect our country, our youth, our future!","Para ma-save ang country, ang mga batit, ang ating future!"
Where are you off to?,Saanchi ang rampa niyez?
Next town-,Sa other side ng kabayanan
Hannah’s,More kila Hannah
Who?,Sinek?
We’re going to Hannah’s place,Gora kami kila Hannah
Cool. This one’s real playboy,Bongga! Power ng junakis mez!
Just like his father,Parang si pudak nyez.
Where’s the booze?,Saanchi ang nomubels?
Let’s get some,Getchikola tayey
Are we looking for a dead person?,Sinek ang sinisearch and rescue natinchi?
It’s clean,Freshness
Someone’s taking good care of it,More like oftentimes siguro itey hinahousekeeping
This is where I saw him! He was crying,Ditey ko siya nasightsung! Krumakrayola siya
Who?,Sinek?
The person who put a curse on him!,Yung kyumember sakinchi
Let me,Akey na lang
Excuse us,Skyusmi
Do you know who visits here often?,Knowschina mo ba kung sinek ang umeevent ditey?
"Yes, ",Korak
the person most beloved by the deceased – Pops Ricafuerte,Ang closeness sa kanyang heart – si Pops Ricafuerte
Gay?,Beki?
A really good person,Bet siyang utaw
Do you know where we can find him?,Noseline mo ba kung saanchi naming siya mavivisit?
Hello!,Heller!
"Oh, young ones","Oh, mga bagets!"
How can I be of help?,Anek ang mahehelp ni watashi?
We’re here-,Nanditrey kamez
Do you remember me?,Narereminisce nyo ba akey?
I was little then,Fingerlings pa akey noonchi
I do not know you,Wit kita knows
I’m the boy you cursed,Ako yung kinyember niyo noon
Cursed?,Jinxkaloosh?
I’ve never done such a thing,Witit akey naggigivesung ng shumpa!
Think hard. You said I’d turn gay when I grew up,Remember when. More say niyo pa dati when I grow up I’m gonna be a beki
I said that? I don’t recall,Si-ney ko yoonchi? Wit ko ma-julala
You may leave,Chupi.
It’s him,Siya yonchi!
You!,Ikawchi!
You cursed me!,Shinumpa mo akey!
Homo! Homo! Homo!,Beki! Beki beki!
Yes! It was I who cursed you,Pak! Akey ang nag-shumpa sayez
You deserve it. You deserve it!,You deserve it. You deserve it!
Tell me how to get rid of the curse. Tell me,I-reveal mo kay watashi kung paano mawiwiz ang shumpa! Ichika-mo!
"Okay, okay","Keri, keri"
I do not know,Wit ko knows!
Wait!,Wait!
I don’t know how but we can talk to the spirit,Wit ko knows pero keri lang makipag-talkshow sa mga isprikitey!
Hold hands,Magjowak-jowak ng kyamay.
Follow after me,Repeatchiwa nyes ang ikukuda kez
"Mischievous spirit, appear",Charoterang Isprikitik Umappear ka vakler
"Make your presence felt here, now","Magpafeel, magpasense, ditey sa baler"
We do not fear you,Witit shokoley ang udangchi ditey
Or your unfortunate face,Sa fezlaboom mo marz na super kalerkey
Don’t let go,Wit kayo bibitawchi
You’re almost there… I can smell you already,Near ka na teh… Nashoshomoy na kita
Do not let go of his hand,Wit mo ilet-go ang handibells niya!
You won’t get Remington,Wit nyo magegetchina si Remington!
Can we get rid of the curse?,Paano mawiwiz ang shumpa?
Only if a real man agrees to turn gay,Kung ang isang true straight guy ay umagreeng maging beki
A virgin who hasn’t tried gay sex,Yung fresh na wit pa nakakaevent ng bekleringking
I hope you find your replacement,Wish ko lang makachika ka ng replacement
I hope so too,Truelabelt
"We’ll come back if we have any more questions, okay?","Return of the comeback kami kung may Q&A pa kami, keri?"
Surely,Surely
Faggots,Mga beki!
Ninong? (Godfather),Fairy godfather?
I pity your father,Naaawa akez sa fudra mo
What a waste,Wastechina ka teh
A waste!,Sayangchi!
The nerve! ,Ang feeling nito!
Who do you think you are? Get out of my property!,Sinekwabams? Lumayas ka sa baler kez!
You’re the killer!,Ikawchi ang killeraka!
"Remington, let’s go!","Remington, gorabels!"
My God!,OM!
Faster!,Bilischiwa!
I’m going as fast as I can,Itey na fuma-fast and furious na
Do you see that?,Nasasightsung nyo ba yonchi?
What is it?,Anek?
There’s still time!,May kyoras pa!
Those of you who have fallen to that wicked gun,"Sa mga shinoktan, shinokot, tinegi nitembang varil"
"Wake up, wake up!","Wake-aroo, wake-apoo!"
And let those murderers,Meet your sweet revenge
Sonofabitch! ,Shutangina!
That hurt!,Ouch!
Snap out of it! We’re out of time.,Gorabums! Kulang na tayey sa kyoras
Let’s get this straight. Someone has to switch places with Remington to turn gay?,Okay i-clear natin itey. More need na may makipag-exchange paper kay Remington to become a true-blue beki?
That’s right,Truela!
And that person will start liking boys?,More magkakabet na rin sa boylets?
And stop liking girls?,And wit na magkakabet sa mga girlat?
We’re forgetting something. My replacement has to be a virgin-,May nafoforgetchina tayey. Dapatchi virgin sa beki ang ka-exchange
Who among you have no sexual experience with gays?,Sinek ang waley pang experience sa mga beki?
Odi and Juno,Odi at Juno
Nothing wrong with being gay,Waley naming problematize sa pagiging beki
My Uncle Elmo sent me to school,Si Uncle Elmo nga ang nagpa-schoolembang sakinchi
"I screwed up, though, so now he’s sending my sister ","Nalurks lang akez, so, more si sisteraka ang pinagle-learning"
Good thing he’s not here; it’s dangerous,More buti na lang waley siya ditey; Haggardous versoza
"Yeah, they’re alright","True, keri sila"
"Game, I’m okay with it","Keri, jupprove na kay watashi"
You are?,Ikawchi?
"Go through with it, bro ","Go mo na tan, teh"
I will still be here for you when you’re gay ,Supportchiwa pa rin kamey if maging beki ka
They have a point,May point naman din ang madla
I guess I should just live with it,"Sige, keri ko na, bet ko na rin naman"
Listen to me. You’re not gay.We can fight this. Don’t give up,Take notice marz. Wit ka beki. Keri nating i-fightsung itey. Wag kang gigive-up.
"Girl, I’m tired. None of us wanted this but what can we do?","Girl, nakakashogod na rinchi. Waley namang may bet nitey pero anek ang magagawa natin?"
"Time to move on, okay?","Move on na nga lang, okay?"
No,Wit
You don’t deserve to be called gay,Wit mo deserve na showaging beki
"The gays I know, they know how to put up a fight","Ang mga beking amiga kez, knows nila kung paano fumightsung"
Some of them fight all their lives,Yung others fumafightsung forever
But you…,Ikawchi
You just do what’s easy for you,More bet mo lang kung ano ang easy sayey
Even if it means giving up what you love and who you are,More kahit na i-give-up mo yung mga lovelife mez and yung identification card mez
Guys…,Beks…
I’m gay!,Beki akey!
I knew it. You weren’t drunk that night,Pak! Wit ka bangenge non!
You’re right,Check ka mam.
I shouldn’t turn back on who I really am,Wit ako dapat ruman-away sa identification card kez
Me too!,Si watash din!
Time’s running out. Let’s go! ,Kulangchi na ang kyoras. Gorabums!
Mimi…,Mimi…
You have the list of all the Lancer owners who work at Ernesto’s school,Saanchi ang listabels ng mga utaw na may Lancer sa schoolembang ni Ernesto?
Chief?,Chief?
What?,Anek?
"Tonya, MangBerting, and the captain… ","Si Tonya, si Mang Berting, si kapitanchi…"
Are they in hell?,Nasa impyernacles nab a sila?
Are you serious?,Seriousness yanchi?
"Yes. I asked for a sign, a white flower to be exact","True. More search si watashi ng sign, more white na flowerchi"
But I forgot what the sign was supposed to mean,Pero wit ko naremember kung anek ang meaning ng flowereret na yonchi
Maybe you should eat the flower and wait for the answer to come,Lafangin mo yung floweret para magetchina mo ang chika
"That’s right… You really are brilliant, Chief","True! Powerful mez, chief!"
That’s why I’m the Chief,"Kaya nga chief akez, right?"
"Friends, tonight we will find out who the lucky girl is","Mga Amiga, ngayonching gabi masesense na natin kung sinek ang bonggang gerlat"
Meanwhile let’s wish our judges good luck – they have a tough job ahead,"Meanwhile, i-wishkabums natinchi ang mga hurado ng good luck – haggard ang workity nila."
Do you want to win?,Bet mo bang umachieve?
"Yes, sir",True papa.
What’s your celfone number?,Anek ang number mes?
Why don’t we put this off till after the fiesta?,Bakit wit natin i-move ang raket na itey latereth after the fiesta?
What’s that?,Anekwaboom?
"Buddy, do you want to turn gay? For a fee?","Beks, betchicola mo baching maging beki? May paysungbels."
What? You want a good beating?,Anek? Bet mong majombag?
He’s gay,Bekliringking.
What’re you waiting for? Use the gun,Anek pa ang winewaitaroo nyez? Beki beng beng!
It’s not working,Wit na to wumoworkity!
It’s Berting,Si Bertingbels!
Berting!,Bertingchi!
Let’s go! There’s too many of them,Gorabels. Superbonggers nilachi!
Look. Ate Baby is crying,Sightsungbels mes. Krumacrayola si Teh Baby.
The make-up is fantastic,Bongga ang makeup
Totally,Trulabels
What a fresh approach,Very freshness ang approach
How daring,Taray!
Why does your perfume smell like…,Bakitchi yung perfumebels mez amoy…
Shit?,Sho-e?
You want to win?,Bet mo bang maging wie-ner?
Okay. Go home and take a bath,Keri. Jumuwela ka at maligo kez.
Get down!,Tuwad!
Pa! Are you alright?,Pa! Keri lang ba kayey?
"Ninong, don’t!","Ninong, wit!"
Stop!,Stopchina!
"I assure you, my son is not gay!","More certified, wit beki ang junakis kez!"
Help me!,Helpchina mez!
Zombading! (gay zombie),Zombading!
Let’s see who’s tougher,Tingnan natinchi kung siney ang mas power!
For my town!,Para sa bayanbels!
Come back! Zombading!,Comebackchi! Zombading!
"Someone cursed me, too, when I was small",May shumupa kay watashi noongching batit pa akey.
That he will turn gay when he grew up. It’s happening,Na magiging beki akik pag tumander akey. Umeevent na siya!
Nonsense,Kagagahan
How I wish it were not real…
"Hannah, I want you to remember how I loved you once","Hannah, ma-rememberchi mo sana na ni-love kita ng bongs."
Even when I’ve already forgotten,Kahit na naforgetchina ko na
How can we get rid of the curse?,Paano mawawafaz ang shoompa?
If someone takes my place – a straight man,Kung may makikipag exchange papers sa akin – isang certified straight
Game. What do I do?,Gora. Anek ang ikekyeme kez?
You’d rather turn gay than have a gay son?,Mas bet mo pang maging beki kaysa magkajunakis ng beki?
I’ve had my swing at life. You’re just starting. ,"More pagora ka pa lang, pa-comeback pa lang si watashi"
"I want you to be happy, as you really are. ","Bet kong jumoy to the world ka, kung anek ka talaga"
Time’s running out,Najujubos na ang oraschi.
But what about you?,Eh paano kachi?
Why? Can’t I be a father when I’m gay?,Bakitchi? Wit ba akey pwedeng maging pudak pag beki na akey?
What about mom?,E paano si mudrakels?
She’ll understand,Magegetchina niya yoonchi.
"I, Eduardo Felimon Martinez, hereby agree to turn gay and stay one for the rest of my life","Akey, si Eduardo Felimon Martinez, ay umaagree na maging jokla forever after!"
"Ma’am, what can you say about recent events here in Lucban?",Anek ang maseseysung nyez sa mga eventologies ditey sa Lucbanchi?
You can direct all your questions to her,"From now on, si Mimibels na ang chichika sa mga questionbels nyes."
- Ma’am?,Maamsie?
- You can do it!,Keri mo na yanchi!
There’s talk that what happened here was just a hoax. It was too… weird. What do you say to that?,May mga chika na ang mga event ditey ay malaking ka-echosan lang. Medyo anek.. weird. Anek ang makukuda niyes?
I’ve seen a lot of things happen in this town,Bongga na ang mga nasightsung kez ditey sa lugar na itey.
Things that I never thought possible ,Mga thingz na akala kez mission impossible
Not even in my imagination,More kahit sa imagination kez
Not even in my nightmares,Or more sa nightmare-aka.
But they happened anyway,Pero more umevent parinchi.
And they are still happening ,And umeevent parinchi.
How pretentious!,Echosera!
"Kids, what do you think of the famous Lucban noodles?","Mga batit, anek ang chika nyez sa Pancit Lucban?"
Delicious!,Manyorap!
So you’re all set to go?,So keri ka nang gumora?
Manila’s not that far,Lapitchi lang naman ang Manilerch.
Right,True
What if you were to study there again?,Anek kung doochi na lang din akey mag-schoolembang?
I’m okay being here. It hones my patience.,Keri na akey ditey.
In that case I’ll stay,Eh di more stay na din akey.
They high school marching bandmaster said I could be his assistant,More keri namanchi akez mag-assistantbels sa banda sa highschoolembangchi.
"You’re scared, aren’t you?",Shokot ka no?
A bit,Slight.
Don’t be. I know you can do it.,Wit. Keri mo yan maam.
Move!,Jusog!
"Jerk, you’re ruining the moment",Vwiset! Sinira mez ang monument!
"Go on, play it","Gora, playsung mes!"
Here goes,Keri gora!
"Ma, look, a homo","Mudak, sightsung mez, beki!"
She’s beautiful,Bongga!
